gene,importance
NAP1L1,0.0005442704477367398
PNRC1,0.0005423755197339191
BTF3,0.0005396936366702733
MORF4L1,0.000535789151183471
RSL1D1,0.0005347682615129781
SDC2,0.0005323710567986185
EIF4B,0.0005297521304058764
HNRNPH1,0.0005281416216689949
VPS13C,0.0005247603857441115
MGLL,0.0005233313353996651
IGFBP5,0.0005158248336279822
KPNB1,0.0005052094319412777
SKP1,0.0005038245084966189
CTSS,0.0004964134404444501
TMA7,0.0004947811766373811
IFI6,0.00048054535175114663
HSP90B1,0.00047895705581502623
AHSP,0.0004770611259870089
RPS14P3,0.00047629694060580193
POMP,0.0004714529508284815
CAVIN2,0.0004696417075994351
SNRPE,0.00046835271438691573
CANX,0.0004573290905486341
PDIA3,0.00045729701785195907
TIMM17A,0.00045363576177951943
MATR3,0.00045187369150675316
RPL28,0.0004482794548774126
PUS7,0.00044071640717093034
RPL22L1,0.0004325036897589513
SAMSN1,0.00042896814431821304
JCHAIN,0.00042704153800376406
NDUFA4,0.0004259421390548422
MYC,0.0004259220442076913
TXNIP,0.00042494842917118505
COX7A2,0.0004221438545335212
RGS2,0.00042197274948779594
APLP2,0.00041794784636669505
HNMT,0.00041687805967923603
EID1,0.0004131418126839245
UBA52,0.00041290919877215947
S100P,0.0004122019249913523
NUCKS1,0.000411587875669455
CLIC2,0.00040971238901238986
RBMX,0.0004089599134064717
UQCRH,0.00040534807169285584
SERPINB1,0.00040461032538261643
MT-ND2,0.0003994013293712364
HNRNPDL,0.00039350862756985984
HMGN2,0.00038973060110115623
HBE1,0.0003885821129687738
LTBR,0.0003839879741022581
CYB5B,0.00038392260399543307
VTA1,0.00038032983714817115
TRMT10C,0.000378008646190929
LAMP5,0.0003770669417580008
CRYBG1,0.000370347322714377
SF3B1,0.0003658409989527512
EIF2S3,0.00036404102865894393
BEX1,0.0003636470000184241
PPIP5K2,0.00036325512110350184
PTPRC,0.0003624580722581004
C5AR1,0.0003608635634407506
HNRNPA3,0.0003510029689016814
CSDE1,0.0003483275127132663
S100A12,0.0003366614001006641
RBM39,0.00033575019422028385
TOP2A,0.0003356672376711733
NIPBL,0.0003345180598891558
SON,0.0003330667870645819
UQCRB,0.0003329369801011926
COX4I1,0.00033156112884093913
MME,0.00032862864005060916
ZWINT,0.00032513571006001214
UBXN1,0.00032343558865033465
HIST1H1C,0.0003231054880105172
CCDC173,0.00032047348254475615
MYO5C,0.0003120836163251836
PRRC2C,0.0003115841896679803
ATP5L,0.00030840181476035286
RPS26,0.0003074491303802531
SNHG8,0.0003057465791062051
IL1RN,0.00029987089759899897
MRPL44,0.0002978327667435919
TMPO,0.00029338136825443015
MYCT1,0.0002929341373284072
POLE,0.0002918466191619575
SSR4,0.0002912063158361848
YWHAZ,0.0002907509611798206
MZB1,0.0002890630436774899
MYADM,0.00028713984958366395
PCM1,0.00028707876619301395
RAB27B,0.00028286375660255324
PLBD1,0.0002809217916797473
SET,0.0002788753097697865
GLMN,0.0002769387378544127
ST13,0.0002758279500245654
HLA-DQA1,0.0002753287683828988
HHEX,0.00027197652749627073
CPNE8,0.0002709931839053664
